A/A;Κωδικός;Κωδ.εργοστασίου;Περιγραφή;Ομάδα;Υποομάδα;Ποσ.1;Αξία;Ποσ.1;Αξία;Ποσ.1;Αξία;Ποσ.1;Αξία;Ποσ.1;Αξία;Ποσ.1;Αξία;Ποσ.1;Αξία;Ποσ.1;Αξία;Κόστος απογραφής;Κόστος πωληθέντων;Αξία πωληθέντων;Κόστος υπολοίπου;Συντελεστής Μ.Κ.;
12;000987;AS0073-CSI;"RM Bus ""I8-CSI"" input expansion module. Provides eight Class A supervised inputs with red, green and yellow status indication LE";ACCESS CONTROL;READERS;8,00;1.342,73;0,00;0,00;0,00;0,00;0,00;0,00;7,00;2.629,55;8,00;1.342,73;7,00;2.629,55;1,00;167,84;1.342,73;1.174,89;2.629,55;167,84;55,32;
13;001023;UDS1100;LANTRONIX UDS1100 One Port Device Server, RS232/485, 10/100 Mbps Network connection. 100-240 VAC International power supply with;IT;PC/SERVER;1,00;253,93;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;253,93;0,00;0,00;1,00;253,93;253,93;0,00;0,00;253,93;0,00;
14;001035;P225XSF;ioProx Reader Mullion XSF Format, Typical read range up to 16.5 cm;ACCESS CONTROL;READERS;0,00;0,00;0,00;0,00;0,00;0,00;2,00;231,56;0,00;0,00;2,00;231,56;0,00;0,00;2,00;228,35;0,00;0,00;0,00;228,35;0,00;
15;001045;P10SHL;ioProx proximity card, XSF/26 bit Wiegand, Standard (clamshell) design slot punched for lanyard or clip;ACCESS CONTROL;CARDS/TAGS (ACCESS);5,00;9,62;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;9,62;0,00;0,00;5,00;9,62;9,62;0,00;0,00;9,61;0,00;
16;001119;1386LGGMN-H10301;Access control proximity cards;ACCESS CONTROL;ΠΑΡΕΛΚΟΜΕΝΑ ACCESS CONTROL;0,00;0,00;0,00;0,00;0,00;0,00;100,00;309,00;100,00;500,00;100,00;309,00;100,00;500,00;0,00;0,00;0,00;309,00;500,00;0,00;38,20;
17;001201;637.008.401;Electromagnetic lock 250KG holding force;ACCESS CONTROL;ΗΛΕΚΤΡΟΜΑΓΝΗΤΕΣ/ΚΥΠΡΙ/ΗΛΕΚΤΡΙΚΕΣ ΚΛΕΙΔΑΡΙΕΣ;48,00;1.139,90;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;48,00;1.139,90;0,00;0,00;48,00;1.139,90;1.139,90;0,00;0,00;1.139,90;0,00;
18;001208;261-701;Βάση στήριξης ηλεκτρομαγνήτη;ACCESS CONTROL;ΗΛΕΚΤΡΟΜΑΓΝΗΤΕΣ/ΚΥΠΡΙ/ΗΛΕΚΤΡΙΚΕΣ ΚΛΕΙΔΑΡΙΕΣ;16,00;55,52;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;55,52;0,00;0,00;16,00;55,52;55,52;0,00;0,00;55,52;0,00;
19;001217;ACA001;Request to exit Button;ACCESS CONTROL;BUTTONS;153,00;2.132,67;0,00;0,00;0,00;0,00;13,00;342,16;32,00;480,51;166,00;2.474,83;32,00;480,51;134,00;1.867,83;2.132,67;432,11;480,51;1.867,84;10,07;
20;001225;MCP3A-G000SF-13;Green Call Points for Access Control Systems. Single pole changeover contact in resettable operation mode. Indoor use. Ingress p;ACCESS CONTROL;BUTTONS;13,00;109,64;0,00;0,00;0,00;0,00;16,00;132,64;19,00;0,00;29,00;242,28;19,00;0,00;10,00;82,90;109,64;157,51;0,00;82,90;0,00;
21;001798;DC-1561 G,W,B;«Αυτοκόλλητη» και βιδωτή μαγνητική επαφή;INTRUSION/BA;ΕΠΑΦΕΣ BA;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;2,00;4,80;2,00;0,00;2,00;4,80;0,00;0,00;0,00;2,75;4,80;0,00;42,69;
22;001804;PS-1523 G,W,B;Μαγνητική επαφή με «καπάκι»;INTRUSION/BA;ΕΠΑΦΕΣ BA;24,00;3,36;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;24,00;3,36;0,00;0,00;24,00;3,36;3,36;0,00;0,00;3,36;0,00;
23;001805;PS-1525 W,B;Μαγνητική επαφή με «καπάκι». Λευκή / Καφέ. Gap : 15.9 mm   (NO/NC).Διαστάσεις : 50.8 x 14.3 x 12.7 m;INTRUSION/BA;ΕΠΑΦΕΣ BA;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;
24;002057;ADCMLCD17;ADCML MONITOR 17''TFT;IT;ΟΘΟΝΕΣ;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;
25;002063;0300-0914-03;Transformer 12-24V AC 45VA;EAS;POWER SUPPLY EAS;15,00;109,43;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;109,43;0,00;0,00;15,00;109,43;109,43;0,00;0,00;109,43;0,00;
26;002075;GE-TTA111VT;Ενεργ. πομπός για την μετάδοση video μέσω UTP;CCTV;ΠΑΡΕΛΚΟΜΕΝΑ CCTV/ACCESSORIES;7,00;175,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;175,00;0,00;0,00;7,00;175,00;175,00;0,00;0,00;175,00;0,00;
27;002110;PIP-009;PIPE CLIP SINGLE POINT FIX (pack of 20);FIRE DETECTION;VESDA & PIPING;7,00;3,82;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;3,82;0,00;0,00;7,00;3,82;3,82;0,00;0,00;3,82;0,00;
28;002113;PIP-007;25MM END CAP F-EC-25;FIRE DETECTION;VESDA & PIPING;5,00;2,44;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;2,44;0,00;0,00;5,00;2,44;2,44;0,00;0,00;2,44;0,00;
29;002149;LAT12V2A;Τροφοδοτικό 12VDC/2A;ΛΟΙΠΑ;ΤΡΟΦΟΔΟΤΙΚΑ;3,00;13,31;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;13,31;0,00;0,00;3,00;13,31;13,31;0,00;0,00;13,31;0,00;
30;002164;PIP-002;25MM SOCKET (pack of 10);FIRE DETECTION;VESDA & PIPING;34,00;8,19;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;34,00;8,19;0,00;0,00;34,00;8,19;8,19;0,00;0,00;8,19;0,00;
31;002166;059-001;Ακροστόμιο δειγματοληψίας Capillary F-CF-25;FIRE DETECTION;VESDA & PIPING;36,00;280,87;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;36,00;280,87;0,00;0,00;36,00;280,87;280,87;0,00;0,00;280,88;0,00;
32;002229;HDD;Σκληρός δίσκος 500GB;IT;ΣΚΛΗΡΟΙ ΔΙΣΚΟΙ;1,00;3,98;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;3,98;0,00;0,00;1,00;3,98;3,98;0,00;0,00;3,98;0,00;
33;002242;WS4945W;ΑΣΥΡΜΑΤΗ ΜΑΓΝΗΤΙΚΗ ΕΠΑΦΗ;INTRUSION/BA;ΕΠΑΦΕΣ BA;3,00;62,72;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;62,72;0,00;0,00;3,00;62,72;62,72;0,00;0,00;62,72;0,00;
34;002284;HP80;ΚΟΥΤΙ ΔΙΑΚΛΑΔΩΣΗΣ HP80 85X85X42 IP54;ΛΟΙΠΑ;ΚΟΥΤΙΑ;0,00;0,00;0,00;0,00;0,00;0,00;2,00;2,97;1,00;0,00;2,00;2,97;1,00;0,00;1,00;1,49;0,00;0,00;0,00;1,49;0,00;
35;002333;HP100;ΚΟΥΤΙ ΔΙΑΚΛΑΔΩΣΗΣ HP 100 113X113X58 IP55;FIRE EXTINGUISHING;ΠΑΡΕΛΚΟΜΕΝΑ FIRE EXTINGUISHING;26,00;72,18;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;27,00;72,18;0,00;0,00;27,00;74,96;72,18;0,00;0,00;74,96;0,00;
36;002353;2000420;YELLOW BACKBOX;FIRE EXTINGUISHING;EXTINGUISHING ELECTRONIC KIT;16,00;51,94;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;51,94;0,00;0,00;16,00;51,94;51,94;0,00;0,00;51,94;0,00;
37;002386;RG59 B/U 75OHM;ΚΑΛ. RG59  B/U 75 OHM ΚΟΥΛΟΥΡΑ 500m;ΛΟΙΠΑ;ΚΑΛΩΔΙΑ;2,00;0,69;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,69;0,00;0,00;2,00;0,69;0,69;0,00;0,00;0,69;0,00;
38;002405;KX08-002I-00;"ΡΑΚΟΡ STORZ 1 3/4"" ΒΟΛΤΑ ΑΛΟΥΜ";FIRE EXTINGUISHING;ΠΑΡΕΛΚΟΜΕΝΑ FIRE EXTINGUISHING;4,00;32,01;0,00;0,00;0,00;0,00;22,00;67,69;26,00;43,25;26,00;99,70;26,00;43,25;0,00;0,00;32,01;133,64;43,25;0,00;-208,99;
39;002406;KX07-060A-00;"ΑΚΡΟΣΩΛΗΝΙΟ 1 3/4-2"" ΑΛΟΥΜ. ΡΥΘΜ";FIRE EXTINGUISHING;ΠΑΡΕΛΚΟΜΕΝΑ FIRE EXTINGUISHING;2,00;21,59;0,00;0,00;0,00;0,00;11,00;120,78;13,00;77,46;13,00;142,37;13,00;77,46;0,00;0,00;21,59;144,85;77,46;0,00;-86,99;
40;002417;KX10-272-00;ΦΑΚΟΣ ΧΩΡΙΣ ΜΠΑΤΑΡΙΕΣ NEW;FIRE EXTINGUISHING;ΠΑΡΕΛΚΟΜΕΝΑ FIRE EXTINGUISHING;20,00;28,80;0,00;0,00;0,00;0,00;8,00;11,32;8,00;3,70;28,00;40,12;8,00;3,70;20,00;29,14;28,80;11,66;3,70;29,14;-215,03;
41;002424;MBK05-FC-BIG;ΦΩΛΙΑ 70Χ63Χ18 ΜΕ ΑΝΕΜΗ;FIRE EXTINGUISHING;ΠΥΡΟΣΒΕΣΤΙΚΕΣ ΦΩΛΙΕΣ;2,00;84,06;0,00;0,00;0,00;0,00;11,00;469,47;13,00;1.348,13;13,00;553,53;13,00;1.348,13;0,00;0,00;84,06;561,94;1.348,13;0,00;58,32;
42;002444;165220320;ΚΟΛΑΡΟ CONDUR 20;ΛΟΙΠΑ;ΛΟΙΠΑ ΠΑΡΕΛΚΟΜΕΝΑ;20,00;3,74;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,00;3,74;0,00;0,00;20,00;3,74;3,74;0,00;0,00;3,74;0,00;
43;002493;878235;ΚΑΛΩΔΙΟ ΤΡΟΦΟΔΟΣΙΑΣ SHUKO (1.8m);ΛΟΙΠΑ;ΚΑΛΩΔΙΑ;2,00;0,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,04;0,00;0,00;2,00;0,04;0,04;0,00;0,00;0,04;0,00;
44;002624;7003345;ΚΑΛΩΔΙΟ HDMI 1,5m;ΛΟΙΠΑ;ΚΑΛΩΔΙΑ;4,00;6,74;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;6,74;0,00;0,00;4,00;6,74;6,74;0,00;0,00;6,74;0,00;
45;002627;2501005;S65 Optical detector (55000-317);FIRE DETECTION;ΑΝΙΧΝΕΥΤΕΣ FIRE CONVENTIONAL;3,00;30,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;30,00;0,00;0,00;3,00;30,00;30,00;0,00;0,00;30,00;0,00;
46;002628;2501003;S60/65 BASE-DIODE FITTED-APOLLO;FIRE DETECTION;DETECTOR BASE FIRE DETECTION;7,00;14,28;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;14,28;0,00;0,00;7,00;14,28;14,28;0,00;0,00;14,28;0,00;
47;002782;FAH-T 420;Ανιχνευτής θερμοδιαφορικός σημειακής αναγνώρισης;FIRE DETECTION;ΑΝΙΧΝΕΥΤΕΣ FIRE ADDRESSABLE;1,00;24,39;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;24,39;0,00;0,00;1,00;24,39;24,39;0,00;0,00;24,39;0,00;
48;002792;NYM3G1,5;ΚΑΛ.NYM A05VV-U 3G1,5 10m;ΛΟΙΠΑ;ΚΑΛΩΔΙΑ;1,00;0,63;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,63;0,00;0,00;1,00;0,63;0,63;0,00;0,00;0,63;0,00;
49;002810;P225KPW26;ioProx Mullion Reader with Keypad, Wiegand 26 Format, Typical read range up to 16.5 cm;ACCESS CONTROL;READERS;1,00;166,85;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;166,85;0,00;0,00;1,00;166,85;166,85;0,00;0,00;166,85;0,00;
50;002875;CB200E;Extinguishing panel;FIRE EXTINGUISHING;ΠΑΡΕΛΚΟΜΕΝΑ FIRE EXTINGUISHING;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;
51;002924;GS 2060;ΜΟΝΑΔΑ GPRS ΓΙΑ ΑΠΟΣΤΟΛΗ ΣΗΜΑΤΩΝ ΣΕ ΚΛΣ;INTRUSION/BA;ΠΛΑΚΕΤΕΣ/ΕΠΕΚΤΑΣΕΙΣ BA;2,00;315,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;315,00;0,00;0,00;2,00;315,00;315,00;0,00;0,00;315,00;0,00;
52;002941;ADCIEH0309TP;CAM DOME 1/3IND HR 540L 3-9 TNT PAL;CCTV;ΚΑΜΕΡΕΣ DOME;1,00;8,39;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;8,39;0,00;0,00;1,00;8,39;8,39;0,00;0,00;8,39;0,00;
53;002968;CQR - SO/PICCOLO/WB/G3;Εσωτερική σειρήνα 115dB Piccolo με μπλε φλας, GRADE 3.;INTRUSION/BA;ΣΕΙΡΗΝΕΣ BA;6,00;62,45;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;62,45;0,00;0,00;6,00;62,44;62,45;0,00;0,00;62,45;0,00;
54;003002;131-912;ARM-1 auxiliary module Relay εξόδου, εγκατεστημένο 0311-0175-01;ACCESS CONTROL;ΚΕΝΤΡΙΚΕΣ ΜΟΝΑΔΕΣ/CONTROLLERS ACCESS;19,00;516,59;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19,00;516,59;0,00;0,00;19,00;516,59;516,59;0,00;0,00;516,59;0,00;
55;003003;SWH-4100;Καρταναγνώστης Smart Card / Proximity;ACCESS CONTROL;READERS;4,00;495,73;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;495,73;0,00;0,00;4,00;495,73;495,73;0,00;0,00;495,73;0,00;
56;003006;STAR016W-64A;Τοπικος Ελεγκτής 16 καρταναγνωστών Access/Alarm , IP ready ,;ACCESS CONTROL;ΚΕΝΤΡΙΚΕΣ ΜΟΝΑΔΕΣ/CONTROLLERS ACCESS;1,00;2.112,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;2.112,05;0,00;0,00;1,00;2.112,05;2.112,05;0,00;0,00;2.112,05;0,00;
57;003007;SWH-4200;Καρταναγνώστης με keypad Smart Card / Proximity για την είσοδο / έξοδο;ACCESS CONTROL;READERS;19,00;4.381,66;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19,00;4.381,66;0,00;0,00;19,00;4.381,66;4.381,66;0,00;0,00;4.381,67;0,00;
58;003008;AS0074-000;"RM Bus ""O8"" output expansion module. Provides eight Form C dry contact relays rated at 30V DC 2A Resistive, 1A Inductive. Red LE";ACCESS CONTROL;READERS;7,00;1.408,12;0,00;0,00;0,00;0,00;0,00;0,00;5,00;1.958,48;7,00;1.408,12;5,00;1.958,48;2,00;402,32;1.408,12;1.005,80;1.958,48;402,32;48,64;
59;003012;ADCWBTRT;Tinted bubble with white trim ring for Discover series;IT;POWER SUPPLIES;9,00;154,62;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;154,62;0,00;0,00;9,00;154,62;154,62;0,00;0,00;154,62;0,00;
60;003015;TS-B04;Βραχίονας για box κάμερα;CCTV;MOUNTS/PLATES/BRACKETS/BOXES;35,00;105,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;35,00;105,00;0,00;0,00;35,00;105,00;105,00;0,00;0,00;105,00;0,00;
61;003019;OHEH26;Heater Kit;CCTV;ΠΑΡΕΛΚΟΜΕΝΑ CCTV/ACCESSORIES;25,00;250,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;25,00;250,00;0,00;0,00;25,00;250,00;250,00;0,00;0,00;250,00;0,00;
62;003021;VLF-500;Μονάδα ανίχνευσης δειγματοληψίας αέρος Vesda;FIRE DETECTION;VESDA & PIPING;1,00;740,99;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;740,99;0,00;0,00;1,00;740,99;740,99;0,00;0,00;740,99;0,00;
63;003024;VSP-005;ΦΙΛΤΡΟ ΜΟΝΑΔΑΣ VESDA;FIRE DETECTION;ΦΙΛΤΡΑ FIRE;24,00;2.401,00;0,00;0,00;0,00;0,00;60,00;5.903,40;24,00;180,00;84,00;8.304,40;24,00;180,00;60,00;5.957,45;2.401,00;99,29;180,00;5.957,45;44,84;
64;003026;STARGC-64MBA;General Controller Module II (GCM II), with 64 MB RAM. Enclosure not included;ACCESS CONTROL;ΠΑΡΕΛΚΟΜΕΝΑ ACCESS CONTROL;1,00;159,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;159,05;0,00;0,00;1,00;159,05;159,05;0,00;0,00;159,05;0,00;
65;003027;STAR-ACM8-WA;iSTAR Pro add-on Access Control Module II (ACM II).;ACCESS CONTROL;ΚΕΝΤΡΙΚΕΣ ΜΟΝΑΔΕΣ/CONTROLLERS ACCESS;1,00;87,85;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;87,85;0,00;0,00;1,00;87,85;87,85;0,00;0,00;87,85;0,00;
66;003028;ABT30;Beam FOCUS 30M;INTRUSION/BA;BEAMS BA;1,00;31,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;31,00;0,00;0,00;1,00;31,00;31,00;0,00;0,00;31,00;0,00;
67;003031;T-1;Tamper with bracket;INTRUSION/BA;ΠΑΡΕΛΚΟΜΕΝΑ INTRUSION/BA;6,00;26,78;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;26,78;0,00;0,00;6,00;26,78;26,78;0,00;0,00;26,78;0,00;
68;003032;PS-1523WG;Μαγνητική επαφή με «καπάκι».;INTRUSION/BA;ΕΠΑΦΕΣ BA;25,00;51,08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;25,00;51,08;0,00;0,00;25,00;51,08;51,08;0,00;0,00;51,08;0,00;
69;003033;DC-1621WG;Χωνευτή μαγνητική επαφή «με πλαστικό». Λευκό / Γκρι / Καφέ.;INTRUSION/BA;ΕΠΑΦΕΣ BA;9,00;11,23;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;11,23;0,00;0,00;9,00;11,23;11,23;0,00;0,00;11,23;0,00;
70;003038;L55013CS;"5-50 mm vari-focal, F1.3, manual iris, 1/3"", CS Mount Lens";CCTV;LENSES;1,00;68,45;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;68,45;0,00;0,00;1,00;68,45;68,45;0,00;0,00;68,45;0,00;
71;003041;SNY1BCLSG;Wall mount brackets;CCTV;MOUNTS/PLATES/BRACKETS/BOXES;4,00;100,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;100,00;0,00;0,00;4,00;100,00;100,00;0,00;0,00;100,00;0,00;
72;003063;STAR016-2URM;Τοπικός ελεγκτής 16 καρταναγνωστών;ACCESS CONTROL;READERS;1,00;193,86;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;193,86;0,00;0,00;1,00;193,86;193,86;0,00;0,00;193,86;0,00;
73;003089;FMC-420RW-GFRRD;MCP LSNi INDOOR FLUSHMOUNT RESET RED;FIRE DETECTION;ACCESSORIES FIRE CONVENTIONAL;2,00;106,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;106,30;0,00;0,00;2,00;106,30;106,30;0,00;0,00;106,30;0,00;
74;003090;FMC-KEY-RW;FMC-KEY-RW Test key for MCP RW;ACCESS CONTROL;KEY MANAGEMENT;7,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;14,00;0,00;0,00;7,00;14,00;14,00;0,00;0,00;14,00;0,00;
75;003094;LC 105;AC100 ΑΝΙΧΝΕΥΤΗΣ ΘΡΑΥΣΗΣ;INTRUSION/BA;ΑΝΙΧΝΕΥΤΕΣ/RADAR BA;12,00;15,36;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;15,36;0,00;0,00;12,00;15,36;15,36;0,00;0,00;15,36;0,00;
76;003117;NYMHY2X1,5;ΚΑΛ. ΕΥΚΑΜΠΤΟ NYMHY HO5VV-F 2X1,5;ΛΟΙΠΑ;ΚΑΛΩΔΙΑ;5,00;2,27;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;2,27;0,00;0,00;5,00;2,27;2,27;0,00;0,00;2,27;0,00;
77;003128;RM-4K;RM Series Personality Module with Keypad Cable Assembly with tamper switch. For use with external 3x4 matrix keypads.;ACCESS CONTROL;READERS;2,00;378,20;0,00;0,00;0,00;0,00;7,00;1.530,86;0,00;0,00;9,00;1.909,06;0,00;0,00;9,00;1.968,24;378,20;0,00;0,00;1.968,25;0,00;
78;003149;DSC-LC-171;LC-171 MOTION DETECTOR;INTRUSION/BA;ΑΝΙΧΝΕΥΤΕΣ/RADAR BA;2,00;178,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;178,20;0,00;0,00;2,00;178,20;178,20;0,00;0,00;178,20;0,00;
79;003156;453.DF1717H.000;CONVERTER 24V 6-10A;FIRE DETECTION;SPARE PARTS FIRE DETECTION;3,00;52,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;52,50;0,00;0,00;3,00;52,50;52,50;0,00;0,00;52,50;0,00;
80;003160;MCP4A-G000SF-13;Green Call Points for Access Control Systems. Double pole changeover contact in resettable operation mode. Indoor use. Ingress p;ACCESS CONTROL;BUTTONS;143,00;2.131,56;0,00;0,00;0,00;0,00;15,00;219,48;12,00;178,98;158,00;2.351,04;12,00;178,98;146,00;2.159,20;2.131,56;133,10;178,98;2.159,13;25,64;
81;003171;KT100;Mini door controller 2 readers;ACCESS CONTROL;READERS;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;
